Date Purchased,Receipt Number,Customer Name,Customer Address,Phone Number,Email,Store Location,Product Name,Product Code,Bar Code,Material Name,Color,Weight,Supplier,Lot Number,Price,Quantity,Tax,Total Price
2025-04-02,43d88870-f81d-4aa1-8812-0a8e78308930,Bethany Keller,"78755 Gibson Islands, Lake John, 50697",605.766.2702,bethany.keller@hotmail.com,"517 Alicia Motorway, Lake Douglasberg, 10308",Transparent PETG Filament,PET-839,5.96159E+12,PETG,Clear,500,3DFilaments,L8123,24.73,1,1.73,26.46
2025-04-02,e61ede90-0267-4eb3-aab6-12c9415d174a,Casey Welch,"3161 Scott Square, Rebeccaton, 43017",4556238692,casey.welch@gmail.com,"19693 Durham Divide, South Dana, 60737",Pro ABS Filament,ABS-961,7.48218E+12,ABS,Green,1000,MakerStuff,L9317,47.37,3,9.95,152.06
2025-04-02,336749b5-2cf6-4f75-aa5e-6920bf5ae7e6,Megan Gonzalez,"7136 Andrews Squares, Andrewfurt, 36477",9097439533,megan.gonzalez@hotmail.com,"2104 Johnson Lakes, North Renee, 43324",Flexible TPU Filament,TPU-652,2.85884E+12,TPU,Purple,1000,MakerStuff,L3504,31.21,2,5,66.79
2025-04-02,f22b5b98-b24c-464f-be3e-6e57f30a9e32,Taylor Jones,"68516 Joseph Crossing, Richardsonview, 77120",(513)709-8593x1746,taylor.jones@gmail.com,"00471 Jimmy Plain, South Shawn, 88382",Flexible TPU Filament,TPU-999,8.69262E+12,TPU,Purple,500,3DFilaments,L9005,20.57,3,4.32,66.03
2025-04-02,2cabd7e7-cc6b-46e5-802a-df9c8a4b8f7c,Jeff Wallace,"51585 Raymond Field, Port Madisonland, 87371",900.532.9318,jeff.wallace@gmail.com,"335 Kristina Ranch, West Micheleberg, 17539",Pro ABS Filament,ABS-187,1.02054E+12,ABS,Green,500,PrintPro,L4946,46.33,1,3.24,49.57
2025-04-02,da509fed-1d4a-4d81-b3a7-d0e0cb08587d,David Fisher,"17758 Shannon Forges, Lake Kristahaven, 40036",007.661.7711x592,david.fisher@gmail.com,"49985 Vang Pines, Shawnchester, 13500",Flexible TPU Filament,TPU-371,8.36737E+12,TPU,Yellow,500,MakerStuff,L3103,39.78,2,5.57,85.13
2025-04-03,39e58ff0-92f8-47d4-8750-3f1dc33a1f6c,Ronald Ortega,"2711 Christopher Court, Lisaside, 08362",001-885-165-6049,ronald.ortega@yahoo.com,"1983 Diane Fork, West Meganstad, 15559",Flexible TPU Filament,TPU-830,6.89981E+12,TPU,Purple,1000,ProtoPolymers,L4470,47.86,2,6.7,102.42
2025-04-03,4882d73c-1c63-45ab-ae0e-d1e8585d3f86,Sandra Bell,"29612 Christopher Pines, South Robert, 45182",(545)991-0229,sandra.bell@gmail.com,"147 Tucker Mills, Nelsonhaven, 15419",Pro ABS Filament,ABS-223,9.78404E+12,ABS,Green,750,3DFilaments,L8177,46.98,4,13.15,201.07
2025-04-03,1422373f-8622-48d1-a683-e10796c044d0,Sierra Saunders,"4510 Burgess Extensions, South Amanda, 30662",851.606.0715x96966,sierra.saunders@yahoo.com,"60529 Collier Lake, South Meganbury, 57605",Pro ABS Filament,ABS-702,6.45352E+12,ABS,Black,500,PrintPro,L6539,20.62,2,2.89,44.13
2025-04-03,13a4a492-497d-416d-94ea-120a5e659654,Rebecca Bailey,"231 Jonathan Extensions, Port Katherine, 10377",(779)979-9552,rebecca.bailey@yahoo.com,"77449 Michael Cliffs, Steventon, 07957",Pro ABS Filament,ABS-980,1.99868E+12,ABS,Black,500,PrintPro,L1964,26.86,1,1.88,28.74
2025-04-03,2102f9c9-6457-4bc4-a981-b098b2cf952d,Marc Alvarez,"07151 Benjamin Station, Ritterhaven, 69018",+1-255-466-5905x151,marc.alvarez@hotmail.com,"644 Mathew Prairie, West Kyle, 86491",Transparent PETG Filament,PET-652,9.14865E+12,PETG,Clear,500,MakerStuff,L5562,40.06,2,5.61,85.73
2025-04-03,fc043f08-9207-4158-b277-1f63ada58417,Andrew Parker,"57332 Chris Vista, New Kellihaven, 05448",+1-592-962-2292x70653,andrew.parker@yahoo.com,"473 Kyle Valleys, Mckeeborough, 48714",Standard PLA Filament,PLA-294,7.74689E+12,PLA,White,1000,ProtoPolymers,L4981,43.53,4,12.19,186.31
2025-04-03,01582463-9d87-46a0-b2d7-8bdd781799ff,Brett Castillo,"8181 Miller Estates, Shannonhaven, 19814",(137)506-0685x36153,brett.castillo@gmail.com,"1522 Justin Village, Hortonberg, 92977",Standard PLA Filament,PLA-984,1.04329E+12,PLA,Blue,500,ProtoPolymers,L6804,32.7,4,10,139.96
2025-04-03,c9dc72b8-5b6a-4102-8428-7378bf5023f4,Kevin Williams,"9711 Carlson Brook, Lake Douglas, 56762",9539621851,kevin.williams@hotmail.com,"888 Peter Mountains, Lake Paulstad, 33747",Standard PLA Filament,PLA-919,1.53195E+12,PLA,Red,1000,PrintPro,L1993,32.07,3,6.73,102.94
2025-04-03,d284f54e-febe-40db-9a3a-61036e3c4532,Maria Cohen,"722 Jennifer Mount, West Jamesborough, 05993",486-874-0345x05415,maria.cohen@yahoo.com,"7652 Holt Land, Lauriechester, 10846",Standard PLA Filament,PLA-532,2.84512E+12,PLA,Blue,500,MakerStuff,L4116,36.08,2,5.05,77.21
2025-04-03,f5e4a471-3fe6-4c9c-8758-367ba6499cdc,Garrett Wallace,"0596 Fowler Turnpike, North Emilyfurt, 48120",202.970.2135x56909,garrett.wallace@gmail.com,"755 Hines Ports, New Michael, 41708",Standard PLA Filament,PLA-553,1.02787E+12,PLA,White,750,ProtoPolymers,L5092,46.22,1,3.24,49.46
2025-04-03,b788f5d1-ffe5-45f6-a5ed-cfe34f2dad3f,Wendy Mitchell,"3121 Thompson Station, Osbornmouth, 88036",(188)442-2583x132,wendy.mitchell@gmail.com,"0589 Mcdonald Plaza, New Nicole, 09118",Flexible TPU Filament,TPU-871,7.86691E+12,TPU,Purple,500,PrintPro,L9856,45.07,1,3.15,48.22
2025-04-03,d7b00bdc-566e-4cbe-9aea-622fe6e987ca,Melvin Humphrey,"922 Shaw Ways, Port Davidberg, 40363",(253)584-1438,melvin.humphrey@yahoo.com,"49818 Brittany Prairie, East Donna, 94955",Pro ABS Filament,ABS-160,9.00109E+12,ABS,Black,500,ProtoPolymers,L8956,34.43,4,9.64,147.36
2025-04-04,28e213bc-e6fd-47af-9d84-caccf6729464,Tyler Burton,"4736 Chavez Spurs, East Scottfort, 61376",592.555.6258,tyler.burton@hotmail.com,"53714 Wright Court, West Soniachester, 33042",Standard PLA Filament,PLA-392,5.95328E+12,PLA,White,750,PrintPro,L7396,27.95,4,7.83,119.63
2025-04-04,24eeb4a6-c145-45c7-9d98-6115f05eeefe,Christopher Long,"3395 Brent Park, Mitchelltown, 14590",(245)650-6098x35841,christopher.long@yahoo.com,"784 David Court, Brooksmouth, 73617",Transparent PETG Filament,PET-159,3.9868E+12,PETG,Orange,1000,ProtoPolymers,L3536,25.69,2,3.6,54.98
2025-04-04,b89f7039-a107-4c46-8634-17182ba6adb3,Stephen Obrien,"259 Martin Ridges, Brittneyhaven, 67310",-6667,stephen.obrien@yahoo.com,"097 Coffey Tunnel, Lake Brett, 63474",Flexible TPU Filament,TPU-614,9.62309E+12,TPU,Purple,500,3DFilaments,L1936,21.49,4,6.02,91.98
2025-04-04,faebcd19-e550-4ea2-a133-a34d8b0e8eb1,Edward Vaughn,"8970 April Points, Whitneyfort, 69376",(527)858-5497x3348,edward.vaughn@yahoo.com,"44375 Bailey Underpass, Keithshire, 89187",Flexible TPU Filament,TPU-170,6.52404E+12,TPU,Purple,500,PrintPro,L9320,22.39,2,3.13,47.91
2025-04-04,c9b7c9bc-65a1-4fa9-9611-69a1ff46a6bf,James Ryan,"421 John Skyway, Lake Jesse, 13634",(571)208-2677x34540,james.ryan@gmail.com,"938 Robin Extensions, Khanburgh, 05264",Standard PLA Filament,PLA-692,7.24005E+12,PLA,Blue,1000,MakerStuff,L7615,23.59,2,3.3,50.48
2025-04-04,4d4c5280-5462-42e7-b43b-a0524459bd6e,Veronica Daniels,"2874 Lisa Isle, Lake Stephen, 34221",001-205-493-2966x851,veronica.daniels@yahoo.com,"122 Morris Gateway, West Patrickmouth, 99297",Standard PLA Filament,PLA-367,9.90453E+12,PLA,Red,1000,PrintPro,L7868,39.71,3,8.34,127.47
2025-04-04,b787ef8d-3495-411e-ae27-d4321dc1e7eb,Gina Leblanc,"414 Mendez Forges, South Eric, 98508",+1-568-783-3918x785,gina.leblanc@gmail.com,"108 Ashley Drive, West Melissa, 58413",Pro ABS Filament,ABS-787,9.71871E+12,ABS,Black,1000,3DFilaments,L4910,27.96,2,3.91,59.83
2025-04-04,4c61845e-fa7e-4d94-85d1-fb63c194f97f,Brian Ford,"0640 Beth Cape, Cooperland, 71432",1704622656,brian.ford@yahoo.com,"6182 Wilson Plain, Ricebury, 00956",Pro ABS Filament,ABS-175,7.86863E+12,ABS,Green,750,3DFilaments,L2188,20.27,1,1.42,21.69
2025-04-04,e134edfc-9777-4f10-b2d2-393f8e85140d,Sharon Hardy,"06903 Carlos Ranch, South Carlaton, 32578",001-067-383-0284x3959,sharon.hardy@hotmail.com,"534 Valerie Pike, South Kevin, 08490",Flexible TPU Filament,TPU-350,2.68706E+12,TPU,Purple,500,3DFilaments,L3170,47.99,1,3.36,51.35
2025-04-04,03ece8ff-e8b3-4763-b4ff-3f3a4d9dbaeb,Kevin White,"733 Mathews Divide, Melendezside, 54591",(882)634-3517x51830,kevin.white@yahoo.com,"9901 Linda Radial, South Jason, 44143",Transparent PETG Filament,PET-726,3.31739E+12,PETG,Clear,750,MakerStuff,L8179,45,3,9.45,144.45
2025-04-04,75f8e3a8-7d97-4c0f-bd56-09c4a4461663,Oscar Ferguson,"4458 Owens Unions, Gillmouth, 27125",(560)932-0489x964,oscar.ferguson@gmail.com,"53693 Pierce Spur, Jonathanfort, 95339",Flexible TPU Filament,TPU-370,2.52287E+12,TPU,Purple,500,3DFilaments,L2697,48.16,2,6.74,103.06
2025-04-04,b27e1442-fd7f-4973-be42-df5b90a3fbbf,Sierra Barnett,"62312 Jeffery Motorway, Brucefort, 86914",008.860.0848x4086,sierra.barnett@gmail.com,"18233 Ochoa Grove, Millerfurt, 60662",Standard PLA Filament,PLA-834,3.41017E+12,PLA,Blue,500,MakerStuff,L5462,28.44,2,3.98,60.86
2025-04-05,d6b361e4-3b6d-4a0d-afe5-040b1901ef87,Jacqueline Miller,"5918 Jerry Ways, Nelsonland, 90210",890-250-3926x142,jacqueline.miller@hotmail.com,"96856 Krystal Spurs, New Juliestad, 07539",Transparent PETG Filament,PET-194,1.59997E+12,PETG,Clear,500,3DFilaments,L9280,34.65,1,2.43,37.08
2025-04-05,6346d4ef-69ef-44e3-8ab6-821c0328c136,Michael Pugh,"2961 Yates Station, North Josephfurt, 93781",+1-265-511-0475x4121,michael.pugh@gmail.com,"7888 Garcia Corners, Angelamouth, 50994",Transparent PETG Filament,PET-752,1.83983E+12,PETG,Orange,750,PrintPro,L1058,30,2,4.2,64.2
2025-04-05,bc20b9f2-4a9c-489e-91b3-0182f7fe604f,Trevor Brown,"4647 Michael Gateway, Wheelerborough, 60513",240-659-6575,trevor.brown@yahoo.com,"924 Morrison Square, South Leon, 52699",Pro ABS Filament,ABS-177,7.93565E+12,ABS,Green,500,ProtoPolymers,L8007,36.82,1,2.58,39.4
2025-04-05,902f3465-0b57-4720-9cd8-758ba5a1c825,Wendy White,"073 Salinas Village, Port Melaniechester, 88709",243.426.6179x7968,wendy.white@hotmail.com,"680 Miles Valleys, North Kaylastad, 22303",Standard PLA Filament,PLA-540,6.56101E+12,PLA,White,1000,PrintPro,L7049,37.47,2,5.25,80.19
2025-04-05,fbe0e6b8-ee0f-45a8-aa13-1c1fccd015c1,Gwendolyn Walker,"6798 Michael Burg, Garciachester, 11754",254-573-8757,gwendolyn.walker@gmail.com,"7514 Lisa Crescent, Port Matthewville, 89255",Standard PLA Filament,PLA-466,3.82826E+12,PLA,White,500,3DFilaments,L6974,46.96,1,4,50.25
2025-04-05,eb2ec80e-4c25-4823-8cf4-ffb0b4bba73f,Jacob Sandoval,"0937 Price Squares, East Joshua, 92744",918-255-3714,jacob.sandoval@hotmail.com,"8596 Matthews Keys, Meganburgh, 88789",Pro ABS Filament,ABS-735,9.91251E+12,ABS,Black,1000,MakerStuff,L2684,30.6,4,8.57,130.97
2025-04-05,751303b9-c7de-46ea-ab0f-be4449e64c22,William Barnes,"96627 Angela Overpass, Donaldmouth, 59614",+1-050-723-6887x676,william.barnes@hotmail.com,"7219 Laura Forges, Antoniobury, 70966",Standard PLA Filament,PLA-283,9.78819E+12,PLA,White,500,MakerStuff,L3900,46.43,1,3.25,49.68
2025-04-05,d0afb235-ade6-4f51-a670-93a0fc48f615,Kathleen Alexander,"61340 Baker Wall, South Michelleville, 31557",959.629.2330,kathleen.alexander@hotmail.com,"8498 Mario Squares, Keithview, 67926",Transparent PETG Filament,PET-491,1.26042E+12,PETG,Clear,750,MakerStuff,L5371,24.77,1,1.73,26.5
2025-04-05,28719b9b-db8f-4e32-adef-50031fce01e3,Tracy Ray,"6671 Richard Summit, Heatherstad, 60098",590.175.1863x6374,tracy.ray@yahoo.com,"5892 Kramer Springs, North Corymouth, 02635",Standard PLA Filament,PLA-458,7.70632E+12,PLA,Red,750,MakerStuff,L4269,44.49,4,12.46,190.42
2025-04-05,4c9bff5c-e188-4eaf-9e18-85c35037cd6b,Christopher Beck,"206 Barber Throughway, South Diana, 92736",037-129-3870,christopher.beck@gmail.com,"516 Tim Forks, Davisville, 14027",Pro ABS Filament,ABS-436,2.62219E+12,ABS,Green,500,MakerStuff,L1387,39.79,4,11.14,170.3
2025-04-05,7fe4a42e-3db7-48a6-9cdc-c4c262c965b2,Jennifer Fuller,"69731 Donald Crossing, Bellchester, 41723",(341)389-9940,jennifer.fuller@hotmail.com,"3898 Julie Hill, Port Rachaelbury, 65366",Pro ABS Filament,ABS-795,9.18055E+12,ABS,Green,500,3DFilaments,L6753,39.23,4,10.98,167.9
2025-04-05,bd9bc648-a876-4e85-bddf-a03aaa8430f8,Felicia Farmer,"09104 Bill Circle, Hunterhaven, 54952",(618)892-4141x83285,felicia.farmer@yahoo.com,"146 Brian Corners, Wilsonton, 41040",Flexible TPU Filament,TPU-282,2.10203E+12,TPU,Purple,750,PrintPro,L2889,46.3,3,9.72,148.62
2025-04-06,45712959-51e7-44e4-b864-ca08ea75752d,Nathan Brady,"1056 Warren Greens, South Spencerstad, 07767",925.241.9138x0003,nathan.brady@gmail.com,"5622 Angela Station, Walkerbury, 55060",Pro ABS Filament,ABS-546,1.9518E+12,ABS,Green,500,PrintPro,L8119,30.36,3,6.38,97.46
2025-04-06,d872f72e-e5b4-41ae-bb41-c943ebd8a3b1,Natalie Cline,"5187 Miguel Highway, Jodibury, 61308",(973)832-0603x850,natalie.cline@yahoo.com,"64138 Robert Circle, Lake Joshua, 06255",Flexible TPU Filament,TPU-101,8.65719E+12,TPU,Purple,500,ProtoPolymers,L4114,27.63,4,7.74,118.26
2025-04-06,ad5be3c8-0c88-4714-8372-17e0657046ea,Ashley Graham,"34456 Stewart Groves, North Sherry, 18341",001-912-127-7561x85374,ashley.graham@yahoo.com,"1124 Jason Walks, Eddiebury, 47128",Flexible TPU Filament,TPU-738,4.42068E+12,TPU,Purple,1000,MakerStuff,L6967,32.93,3,6.92,105.71
2025-04-06,9df2372e-9e82-4aae-9d36-16a108dec921,Linda Taylor,"03236 Parks Rue, New Brendaland, 03358",372-151-0702,linda.taylor@hotmail.com,"6706 Thompson Forest, West Joshua, 19982",Transparent PETG Filament,PET-434,3.47687E+12,PETG,Clear,1000,PrintPro,L5920,35.2,4,9.86,150.66
2025-04-06,f2a32efd-ff13-4c80-8398-c3320e500785,James Wilkerson,"380 Casey Knolls, Stephensfort, 45594",001-856-420-5930,james.wilkerson@yahoo.com,"78593 Craig Shoals, West Amanda, 97108",Transparent PETG Filament,PET-793,3.96522E+12,PETG,Orange,1000,3DFilaments,L3085,25.75,4,7.21,110.21
2025-04-06,12916e60-f5e7-4daf-9d69-6bc8dc54d59b,Jade Bell,"929 Mary Valleys, Weaverburgh, 64783",1039308705,jade.bell@hotmail.com,"25250 Dylan Squares, Port Daniel, 69483",Standard PLA Filament,PLA-411,5.69155E+12,PLA,White,1000,3DFilaments,L7653,36.43,1,2.55,38.98
2025-04-06,59b9222c-115a-4fac-b173-fcdf3fe1e8f3,Grant Novak,"953 Nicholas Street, Davidtown, 92514",001-690-295-9391,grant.novak@yahoo.com,"51355 Daisy Corners, Seanview, 27984",Pro ABS Filament,ABS-791,4.10068E+12,ABS,Green,500,ProtoPolymers,L6279,33.94,4,9.5,145.26
2025-04-06,ecf26429-b8d7-4d2f-8dda-4ff2b27b7bb4,Amy Garcia,"9327 Lauren Bypass, Andrewview, 14227",526-218-1599,amy.garcia@yahoo.com,"062 Moore Courts, Jamieborough, 54146",Pro ABS Filament,ABS-627,8.44431E+12,ABS,Black,1000,ProtoPolymers,L3780,39.76,3,8.35,127.63
2025-04-06,3a3e46b0-96f8-4ff7-81a7-2883f8802878,Brian Smith,"49731 Jamie Route, Tiffanyfort, 15640",677-418-6256x5270,brian.smith@yahoo.com,"7434 Edward Square, North Elizabethside, 54763",Transparent PETG Filament,PET-250,8.06869E+12,PETG,Clear,500,MakerStuff,L6085,26.73,2,3.74,57.2
2025-04-06,c81c8d31-85c6-4fbf-966b-62ea9f80b96b,Ralph Nash,"89899 David Throughway, Thompsonburgh, 28273",206.163.2945,ralph.nash@hotmail.com,"16868 Gates Pike, Starktown, 92305",Standard PLA Filament,PLA-566,6.1623E+12,PLA,Red,500,MakerStuff,L8784,38.33,1,2.68,41.01
2025-04-06,ca9f1d59-83e8-4700-8e63-813ed22e3226,Kristi Dillon,"6467 Johnson Harbor, Thomasfurt, 05584",(530)745-0544x4713,kristi.dillon@gmail.com,"7546 Jacob Forest, Figueroahaven, 49510",Transparent PETG Filament,PET-251,2.14863E+12,PETG,Orange,1000,MakerStuff,L7291,34.82,2,4.87,74.51
2025-04-06,a6ce6d7a-44e2-494b-b4ec-5264ad7d6f81,Mary Wright,"0534 Colon Parkways, Reidville, 89783",3579727985,mary.wright@yahoo.com,"41406 Frank Ports, Port Jeffrey, 30006",Standard PLA Filament,PLA-151,6.80072E+12,PLA,Red,500,ProtoPolymers,L4585,25.27,4,7.08,108.16
2025-04-07,ae46024d-51d0-4ef3-a918-83fc6772fe9f,Linda Torres,"466 Stevens Forge, Turnerhaven, 82238",(910)858-9944x1715,linda.torres@yahoo.com,"544 Lopez Path, North Linda, 79148",Flexible TPU Filament,TPU-783,2.07447E+12,TPU,Purple,500,PrintPro,L8478,23.99,4,6.72,102.68
2025-04-07,daaf7529-deef-482a-8dd7-015869c165ae,Matthew Reeves,"875 Bruce Ville, West Connor, 17270",001-482-513-5346x5549,matthew.reeves@yahoo.com,"1709 Thomas Fields, Port Erinhaven, 39607",Flexible TPU Filament,TPU-950,2.2357E+12,TPU,Purple,1000,3DFilaments,L8251,38.37,4,10.74,164.22
2025-04-07,62305d27-1a4b-4606-a101-9bff4fe54745,Marvin Hatfield,"0074 Kathleen Extension, South Kristen, 12040",(966)667-6008,marvin.hatfield@gmail.com,"505 Andrew Avenue, East Heather, 45635",Flexible TPU Filament,TPU-960,8.9421E+12,TPU,Purple,750,MakerStuff,L8777,33.49,2,4.69,71.67
2025-04-07,9b0ada0b-9f6f-4cc1-851d-38fe8532fc74,Matthew Barron,"57532 Smith Fork, East Jessica, 77793",215.064.8909x01001,matthew.barron@yahoo.com,"6184 Miles Ford, West Robertville, 87333",Pro ABS Filament,ABS-830,2.61891E+12,ABS,Green,1000,ProtoPolymers,L4919,28.23,1,1.98,30.21
2025-04-07,4a629c5e-da2c-4852-8a19-0939dfc7ab26,James Baker,"356 Martin Plaza, Lozanofort, 43833",001.197.2181,james.baker@hotmail.com,"143 Hinton Hill, Stevenville, 23399",Pro ABS Filament,ABS-241,5.5611E+12,ABS,Green,500,3DFilaments,L6502,29.58,1,2.07,31.65
2025-04-07,de4b061e-b45e-4463-832a-09e05071e5f0,Stephanie Adams,"155 Daniel Locks, Nelsonfurt, 90927",621.202.1697x9729,stephanie.adams@yahoo.com,"9027 Rodriguez Loop, Williamsview, 86349",Standard PLA Filament,PLA-524,8.99359E+12,PLA,White,500,ProtoPolymers,L3503,41.18,1,2.88,44.06
2025-04-07,1744ee3f-d36e-41bd-800b-1f5e8c91bd13,Michael Rhodes,"2890 Dawn Estate, Christianburgh, 10313",001-753-540-8386x63177,michael.rhodes@hotmail.com,"1775 Tina Summit, North Richardton, 73525",Transparent PETG Filament,PET-498,9.94884E+12,PETG,Orange,750,ProtoPolymers,L7812,21.86,4,6.12,93.56
2025-04-07,22778161-8113-47a8-b4c8-e39396dd6c82,Martin Saunders,"757 Connor Shoals, North Matthew, 83556",885-102-7261x4933,martin.saunders@gmail.com,"3735 Katherine Cape, Port Patriciamouth, 86806",Standard PLA Filament,PLA-405,7.08087E+12,PLA,Red,1000,ProtoPolymers,L8814,20.17,3,4.24,64.75
2025-04-07,6adfd568-b5ca-4993-aaca-d101f1530f68,Jessica Anderson,"9958 Barnes Rest, West Raymond, 45440",722-698-4858x3339,jessica.anderson@hotmail.com,"5228 Page Trace, Annashire, 75295",Transparent PETG Filament,PET-597,8.46081E+12,PETG,Orange,750,MakerStuff,L8999,26.57,4,7.44,113.72
